team number,nickname,rookie year,full name,Nasa?,city,region,country,motto,# of events,event codes,event names
57,Leopards,1998,Hydraquip Custom Systems Inc./Andy's Hardware/Arc Specialties/CenterPoint Energy Give/Chevron/Country Pure Foods/Employee Owned Holdings Inc./ExxonMobil/Hydraquip Distribution Inc./GE Sensing/Walter P. Moore & Washington B T H S,,Houston,Texas,USA,We make a difference by leaving our leopard spots,2,"['2016carv', '2016txho']","['Carver Division', 'Lone Star Regional']"
58,The Riot Crew,1996,Fairchild Semiconductor/Robotics Institute of Maine & South Portland High School,,South Portland,Maine,USA,The Riot Crew,3,"['2016marea', '2016melew', '2016week0']","['NE District - North Shore Event', 'NE District - Pine Tree Event', 'Week 0']"
59,RamTech,1997,Sal Aerospace Engineering (SAE) / Miami Coral Park Sr. / Beckman Coultour / Florida Power & Light / eMerge of Americas & Miami Coral Park Senior High,,Miami,Florida,USA,R.A.M.S (Right Attitude Means Success),1,['2016flwp'],['South Florida Regional ']
60,Bionic Bulldogs,1997,"KUSD #20 Kingman High School/Kingman Academy of Learning High School/Chrysler Foundation/Laron Incorporated/Purvis Industries/Brackett Aircraft/Potters, Inc/Praxair/Sutton Funeral Home/3-Systems and the Coca Cola Company/Mohave County Block Grant/I Corp/West Coast Netting/Kingman Regional Medical Center/True Value/Coast Aluminum /Freiday Construction/Data Max and Wecom & Kingman High School & Kingman Academy of Learning - High School & Lee Williams High School",,Kingman,Arizona,USA,Fabricating Futures,3,"['2016azfl', '2016cars', '2016nvlv']","['Arizona North Regional', 'Carson Division', 'Las Vegas Regional']"
63,McDowell Robotics Team 63,1997,Millcreek Township School District/GE Volunteers & Mcdowell Hs,,Erie,Pennsylvania,USA,Wearing the same shirts doesn't make a team,2,"['2016ohci', '2016ohcl']","['Queen City Regional', 'Buckeye Regional']"
66,Grizzly Robotics,1998,General Motors Corp/Michigan Department of Education/ZF & Ypsilanti STEMM Middle College,,Ypsilanti,Michigan,USA,Inspiring Our Youth With Technology!,4,"['2016miann', '2016micmp', '2016misjo', '2016tes']","['FIM District - Ann Arbor Skyline Event', 'Michigan State Championship', 'FIM District - St. Joseph Event', 'Tesla Division']"
67,The HOT Team,1997,General Motors Milford Proving Ground & Huron Valley Schools,,Highland,Michigan,USA,Heroes Of Tomorrow,4,"['2016micmp', '2016mihow', '2016miwat', '2016new']","['Michigan State Championship', 'FIM District - Howell Event', 'FIM District - Waterford Event', 'Newton Division']"
68,Truck Town Thunder,1998,General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Esys Automation/Continental Automotive Systems/ARL Service/Cross the Road Electronics/Michigan Renaissance Festival/CEC Controls & Brandon High School & Holly High School,,Ortonville,Michigan,USA,"Transforming Culture with Traction, Teamwork and Inspiration",5,"['2016gal', '2016inwla', '2016micmp', '2016mihow', '2016milan']","['Galileo Division', 'IN District - Tippecanoe Event', 'Michigan State Championship', 'FIM District - Howell Event', 'FIM District - Lansing Event']"
69,HYPER,1998,Bluefin Robotics & Quincy Public Schools,,Quincy,Massachusetts,USA,Helping Youth Pursue Engineering and Robotics,2,"['2016mabos', '2016manda']","['NE District - Boston Event', 'NE District - UMass-Dartmouth Event']"
70,More Martians,1998,General Motors/State of Michigan/Fiat Chrysler Automotive Foundation/Kettering University/Patti Engineering/Leoni/Midstates Bolt & Screw Co./Burkland/Mid Michigan Robotics Alliance & Goodrich High School,,Goodrich,Michigan,USA,Two heads are better than one,4,"['2016hop', '2016micmp', '2016mihow', '2016miket']","['Hopper Division', 'Michigan State Championship', 'FIM District - Howell Event', 'FIM District - Kettering University Event #1']"
71,Team Hammond,1996,School City of Hammond / Caterpillar / City of Hammond / Bemcor International & Area Career Center,,Hammond,Indiana,USA,,3,"['2016incmp', '2016inpmh', '2016inwch']","['Indiana State Championship', 'IN District - Perry Meridian Event', 'IN District - Walker Warren Event']"
73,The Illumination,1995,"ME Engineering/RIT FIRST Club/Ron Zarrella & Rochester Science, Technology, Engineering and Mat",,Rochester,New York,USA,,1,['2016nyro'],['Finger Lakes Regional ']
74,Team C.H.A.O.S.,1995,Haworth Inc./Profile Films/PTC/SpinDance/EBW Electronics/Magna/Brain and Spine Center/Disher/Grand Valley State University/Trans-Matic/River City Metals/Russells Technical Products/A.D. Bos Vending Services & Holland High School & Black River Public School,,Holland,Michigan,USA,Every problem has a solution,5,"['2016inwch', '2016micmp', '2016mitvc', '2016miwmi', '2016tes']","['IN District - Walker Warren Event', 'Michigan State Championship', 'FIM District - Traverse City Event', 'FIM District - West Michigan Event', 'Tesla Division']"
75,RoboRaiders,1996,J&J Consumer and Personal Products Worldwide - & Hillsborough High,,Hillsborough,New Jersey,USA,,3,"['2016mrcmp', '2016njbri', '2016njfla']","['Mid-Atlantic Robotics District Championship', 'MAR District - Bridgewater-Raritan Event', 'MAR District - Mt. Olive Event']"
78,AIR STRIKE,1996,Naval Undersea Warfare Center/The de Ramel Foundation/DOD STEM/BAE Systems/CVS Health Foundation/KVH Industries/Raytheon/Rite-Solutions & Aquidneck Island Robotics 4-H Club,,Newport,Rhode Island,USA,Teaching Through Competitive Robotics,5,"['2016carv', '2016manda', '2016necmp', '2016nhgrs', '2016week0']","['Carver Division', 'NE District - UMass-Dartmouth Event', 'New England District Championship', 'NE District - Granite State Event', 'Week 0']"
79,Team Krunch,1998,"Honeywell Aerospace/Career Technical Education Foundation, Inc./GE & East Lake High School",,Tarpon Springs,Florida,USA,It's Krunch Time,2,"['2016alhu', '2016flor']","['Rocket City Regional', 'Orlando Regional']"
81,MetalHeads,1994,Honeywell/Freeport School District 145/Ultrasonic Power Corporation/Trez Turning/Morse Electric/Kiwanis Clubs of Freeport/RestorX/Papa Murphy's/Atkins Energy/Culver's of Freeport & Freeport High School & Lena-Winslow High School,,Freeport,Illinois,USA,The Next Elements in Robotics,1,['2016ilpe'],['Central Illinois Regional']
85,B.O.B. (Built on Brains),1996,"Herman Miller Foundation/System Components, Inc/Trans-matic/NUVAR Incorporated/ITW  Drawform/Request Foods/Lakeshore Cutting/Mead Johnson Nutritionals/ODL/Gentex/Midway Machine Techlologies/Town & Country Group/Plascore/Consumers Energy/Global Concepts & Zeeland West High School & Zeeland East High School",,Zeeland,Michigan,USA,Built on Brains,4,"['2016carv', '2016micmp', '2016milak', '2016miwmi']","['Carver Division', 'Michigan State Championship', 'FIM District - Lakeview Event', 'FIM District - West Michigan Event']"
86,Team Resistance,1998,"JEA/VISTAKON Johnson and Johnson Vision Care Products/Black and Veatch Engineering/Johnson Controls, Inc. & Stanton College Preparatory",,Jacksonville,Florida,USA,Going Against the Current!,2,"['2016flor', '2016flwp']","['Orlando Regional', 'South Florida Regional ']"
87,Red Devils,1997,Lockheed Martin/COMCAST/NAVSEA & NDEP/CPS Metals/AndyMark/Chick-Fil-A & Rancocas Valley Reg H,,Mount Holly,New Jersey,USA,"""FIRST you go to Robotics, then you can go ANYWHERE!""",3,"['2016flwp', '2016njtab', '2016pahat']","['South Florida Regional ', 'MAR District - Seneca Event', 'MAR District - Hatboro-Horsham Event']"
88,TJ(Squared),1996,Harpak-ULMA / Highland Power Corp & Bridgewater-Raynham Reg,,Bridgewater,Massachusetts,USA,Oh Yeah!,5,"['2016gal', '2016manda', '2016necmp', '2016nhgrs', '2016week0']","['Galileo Division', 'NE District - UMass-Dartmouth Event', 'New England District Championship', 'NE District - Granite State Event', 'Week 0']"
93,NEW Apple Corps,1997,Plexus Corp./Appleton Area School District & Tesla Engineering Charter School & East High & North High & West High,,Appleton,Wisconsin,USA,"Simul possumus, simul volumus",2,"['2016ilpe', '2016mndu']","['Central Illinois Regional', 'Lake Superior Regional']"
94,The  Technojays,1998,Lear Corporation/Denso Corporation/FORD MOTOR COMPANY & Southfield High School,,Southfield,Michigan,USA,BLUEJAYS SOAR-Standing Out Above the Rest,2,"['2016misou', '2016mitvc']","['FIM District - Southfield Event', 'FIM District - Traverse City Event']"
95,Grasshoppers,1997,Hartford Area Career and Technology Center/Byrne Foundation/NASA/BAE Systems/NDEP/CRREL/Hypertherm & Hartford Area Career and Technology Center,NASA,White River Junction,Vermont,USA,Be Awesome,4,"['2016manda', '2016necmp', '2016nhdur', '2016nhgrs']","['NE District - UMass-Dartmouth Event', 'New England District Championship', 'NE District - UNH Event', 'NE District - Granite State Event']"
97,Bionic Beef,1996,"Akamai Technologies/Draper Laboratories/Vecna Technologies, Inc & Cambridge Rindge and Latin",,Cambridge,Massachusetts,USA,,2,"['2016marea', '2016ripro']","['NE District - North Shore Event', 'NE District - Rhode Island Event']"
100,The WildHats,1998,"Woodside High School Foundation/Sequoia Union High School District/Tate Family/Pentair/Lawrence Searcy/Barnes & Associates Insurance/Woodcraft/Solutions2Projects, LLC/Intuitive Surgical/Microsemi Corporation/SRI International/Recology San Mateo County/Brin Wojcicki Foundation/John & Jane Shroyer/SolidWorks/Alan Steel and Supply Company & Woodside High",,Woodside,California,USA,"""Student Run, Student Built""",2,"['2016cada', '2016casj']","['Sacramento Regional', 'Silicon Valley Regional presented by Google.org']"
101,Striker,1997,St Patrick High School,,Chicago,Illinois,USA,Go Shamrocks!,1,['2016ilch'],['Midwest Regional']
102,The Gearheads,1998,"Janssen Pharmaceuticals Inc. / Piccatinny Arsenal / Air Liquide / PSEG / Central Jersey Trailer and Hitch LLC / Alloy Welding Company, Inc. / Gerber Metal Supply Company / Dr. Victor J. Bauer & Somerville High",,Somerville,New Jersey,USA,GEARing Up for Success,3,"['2016mrcmp', '2016njski', '2016njtab']","['Mid-Atlantic Robotics District Championship', 'MAR District - Montgomery Event', 'MAR District - Seneca Event']"
103,Cybersonics,1997,"Amplifier Research/Hot Chalk/Lutron Electronics, Inc/PHTool/Tyndale/BAE Systems/Fred Beans Automotive/Stokes Manufacturing/Harro Hoflinger/Client Link & Palisades Hs",,Kintnersville,Pennsylvania,USA,Vision. Pasion. Commitment,4,"['2016new', '2016njski', '2016paphi', '2016pawch']","['Newton Division', 'MAR District - Montgomery Event', 'MAR District - Springside Chestnut Hill Event', 'MAR District - Westtown Event']"
107,Team R.O.B.O.T.I.C.S.,1997,Metal Flow/Tommy's Express Car Wash/Grand Valley State University/World Class Prototypes/Koops/Twisthink & Holland Christian High School,,Holland,Michigan,USA,Team R.O.B.O.T.I.C.S. ,4,"['2016arc', '2016micmp', '2016mista', '2016miwmi']","['Archimedes Division', 'Michigan State Championship', 'FIM District - Standish-Sterling Event', 'FIM District - West Michigan Event']"
108,SigmaC@T Robotic Team,1995,Motorola Solutions Foundation / Florida Power & Light / Broward County Public Schools & Dillard High School,,Ft. Lauderdale,Florida,USA,"""Teamwork through Technology""",2,"['2016flor', '2016flwp']","['Orlando Regional', 'South Florida Regional ']"
111,WildStang,1996,"Motorola Solutions Foundation / Methode Electronics / Township High School District 214 / Numerical Precision, Inc. / Nu-Way Industries / Lendrix / Magnetic Inspection Laboratory / Just Manufacturing / Automatic Precision & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School",,Arlington Heights,Illinois,USA,WildStang,3,"['2016ilch', '2016ilpe', '2016tes']","['Midwest Regional', 'Central Illinois Regional', 'Tesla Division']"
114,Eagle Strike,1997,Google / Western Digital / Lockheed Martin / Intuitive Surgical / Applied Welding Technology / Advanced Component Technology / Los Altos High School & Los Altos High,,Los Altos,California,USA,,2,"['2016cada', '2016casj']","['Sacramento Regional', 'Silicon Valley Regional presented by Google.org']"
115,MVRT,1998,"Fremont Union High School Foundation/Apple/Qualcomm/Intuitive Surgical/Brin-Wojcicki Foundation/Western Digital/Apprion, Inc/Lockheed Martin/EMC2/De Anza College Machine Shop/Pinnacle Manufacturing & Monta Vista High",,Cupertino,California,USA,,2,"['2016casj', '2016utwv']","['Silicon Valley Regional presented by Google.org', 'Utah Regional']"
116,Epsilon Delta,1996,NASA Headquarters & Herndon High,NASA,Herndon,Virginia,USA,From small differences come big changes,3,"['2016chcmp', '2016vados', '2016vahay']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Central Virginia Event', 'CHS District - Northern Virginia Event']"
117,The Steel Dragons,1998,4moms / The Thorn Family / The Heinz Endowments  / FIRST FRC Hardship Grants  / KuzElectric inc & Pittsburgh Allderdice Hs,,Pittsburgh,Pennsylvania,USA,"Get it done, then make it better",1,['2016paca'],['Greater Pittsburgh Regional']
118,Robonauts,1997,NASA-JSC & Clear Creek H S,NASA,League City,Texas,USA,,5,"['2016alhu', '2016cmp', '2016new', '2016onto', '2016txho']","['Rocket City Regional', 'Einstein Field', 'Newton Division', 'Greater Toronto East Regional ', 'Lone Star Regional']"
120,Cleveland's Team,1995,NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Youth Technology Academy,NASA,Cleveland,Ohio,USA,All for ONE--Cleveland's Team!,5,"['2016carv', '2016cmp', '2016ohci', '2016ohcl', '2016scmb']","['Carver Division', 'Einstein Field', 'Queen City Regional', 'Buckeye Regional', 'Palmetto Regional']"
121,Rhode Warriors,1996,NDEP/Raytheon/Town of Middletown/Blowfish/Ferreira-Fenton Fund & Middletown High School,,Newport County,Rhode Island,USA,Quality Robots Since 1996,2,"['2016mabos', '2016manda']","['NE District - Boston Event', 'NE District - UMass-Dartmouth Event']"
122,NASA Knights,1997,NASA Langley Research Center/New Horizons Regional Education Center/Precision Sheet Metal Fabrication LLC/TE Connectivity Foundation/Fastenal/Rose Precision Machine & Butler Farm Campus,NASA,Hampton,Virginia,USA,Inspire at all costs,4,"['2016chcmp', '2016new', '2016vados', '2016vapor']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'Newton Division', 'CHS District - Central Virginia Event', 'CHS District - Hampton Roads Event']"
123,Team - Cosmos,1997,"GM Detroit Hamtramck Assembly/General Motors Foundation/Ford Motor/Design Systems, Inc/Wayne Metro Community Action Agency /Wayne State University Formula SAE/DADARA/State of Michigan & Hamtramck High School",,Hamtramck,Michigan,USA,Share our similarities and celebrate our differences ,4,"['2016hop', '2016micen', '2016micmp', '2016misou']","['Hopper Division', 'FIM District - Center Line Event', 'Michigan State Championship', 'FIM District - Southfield Event']"
125,NUTRONs,1998,Northeastern University / Textron Systems / Sonos Inc. / United Technologies / National Grid / PTC / BAE Systems & Boston Latin & Brookline High & Revere High,,Boston,Massachusetts,USA,Uhhh....Strap???,7,"['2016azfl', '2016mabos', '2016melew', '2016necmp', '2016new', '2016ripro', '2016week0']","['Arizona North Regional', 'NE District - Boston Event', 'NE District - Pine Tree Event', 'New England District Championship', 'Newton Division', 'NE District - Rhode Island Event', 'Week 0']"
126,Gael Force,1992,Nypro Inc. & Clinton Senior High,,Clinton,Massachusetts,USA,Molding the Future,4,"['2016mabos', '2016mawor', '2016necmp', '2016new']","['NE District - Boston Event', 'NE District - WPI Event', 'New England District Championship', 'Newton Division']"
128,The Botcats,1997,"American Electric Power/Grandview Heights Marble Cliff Education Foundation/Grandview Bobcat Boosters, Inc. & Grandview Heights High School",,Grandview Heights,Ohio,USA,"Student Designed, Student Built, Student Run -  Mentor Approved",3,"['2016ohci', '2016ohsc', '2016paca']","['Queen City Regional', 'Ohio FRC State Championship', 'Greater Pittsburgh Regional']"
131,C.H.A.O.S.,1995,"BAE SYSTEMS / Rockwell Automation / Solid Works / Intelitek Inc / CHAOS Families / Best Buy Foundation / Cronin Bisson & Zalinsky, Attorneys at Law & Manchester Central High School &  4-H Hillsborough County, NH",,Manchester,New Hampshire,USA,You can't stop us!,2,"['2016nhdur', '2016nhgrs']","['NE District - UNH Event', 'NE District - Granite State Event']"
133,B.E.R.T.,1997,ITS Inc./Lockheed Martin/Robotics Institute of Maine & Bonny Eagle High School,,Standish,Maine,USA,Building Engineers One Robot at a Time,4,"['2016carv', '2016marea', '2016melew', '2016necmp']","['Carver Division', 'NE District - North Shore Event', 'NE District - Pine Tree Event', 'New England District Championship']"
135,Penn Robotics,1998,PHM Educational Foundation/Renesas & Penn High School,,Mishawaka,Indiana,USA,"Blood, Sweat, and Gears",4,"['2016cars', '2016incmp', '2016inpmh', '2016inwla']","['Carson Division', 'Indiana State Championship', 'IN District - Perry Meridian Event', 'IN District - Tippecanoe Event']"
136,Killer Kardinals,1997,"Plainfield Board of Education / Ivy Visions, Inc. & Plainfield High",,Plainfield,New Jersey,USA,"""Champions Under Construction!""",2,"['2016njski', '2016paphi']","['MAR District - Montgomery Event', 'MAR District - Springside Chestnut Hill Event']"
138,Entropy,1996,Monarch Instrument / Rockwell Automation / BAE Systems / SvenGrafik / Control Air / John Alberts Welding / Rapid Sheet Metal / Amherst Lions Club / County Stores / BB Mold & Souhegan Coop High School,,Amherst,New Hampshire,USA,We Love Torque,2,"['2016nhdur', '2016nhgrs']","['NE District - UNH Event', 'NE District - Granite State Event']"
141,WOBOT,1995,"JR Automation Technologies, LLC / Holland Board of Public Works / Koop & Burr Insurance / Bradford Company / Engineered Automation Systems, Inc. / Suntec Services / Rutherford & Associates / Egemin Automation / Tric Tool, Ltd.  & West Ottawa High School Campus",,Holland,Michigan,USA,We can do more.,4,"['2016carv', '2016flwp', '2016misjo', '2016miwmi']","['Carver Division', 'South Florida Regional ', 'FIM District - St. Joseph Event', 'FIM District - West Michigan Event']"
144,The R.O.C.K,1994,"Clippard Instruments / P&G / The Kroger Company / Skyline Chili / Craftsman Electric / TP Mechanical  / Cincinnati Test Systems / MSA, Architects / Alliance Robotics / Northgate Greenhouses & Butler Tech - Colerain High School & Butler Tech - Northwest High School",,Cincinnati,Ohio,USA,What is your quest?,3,"['2016ohci', '2016ohsc', '2016paca']","['Queen City Regional', 'Ohio FRC State Championship', 'Greater Pittsburgh Regional']"
145,T-Rx,1997,NY Tech Valley FIRST Sponsors / Follett Foundation / Greater Norwich Foundation / Otis Thompsen Foundation / Anna Mabey Foundation / Peptis Foundation / The Balloon Detail & Norwich High School & Sherburne-Earlville Senior High School & Unadilla Valley High School,,Norwich,New York,USA,Looking Down from the Top of the Food Chain,1,['2016nytr'],['New York Tech Valley Regional']
148,Robowranglers,1992,Innovation First International/L-3 Mission Integration/Texas Workforce Commission & GREENVILLE H S,,Greenville,Texas,USA,Professionalism at all times,5,"['2016cmp', '2016hop', '2016onwa', '2016txda', '2016txsa']","['Einstein Field', 'Hopper Division', 'Waterloo Regional ', 'Dallas Regional', 'Alamo Regional sponsored by Rackspace Hosting']"
151,Tough Techs,1992,BAE Systems / Raytheon / GHO Ventures / Parker Hannifin / Rapid Machining / Boston Carmen's Union Local 589 & Nashua High School North & Nashua High School South,,Nashua,New Hampshire,USA,Where all students go pro,2,"['2016marea', '2016nhdur']","['NE District - North Shore Event', 'NE District - UNH Event']"
155,The Technonuts,1994,"United Techologies Pratt & Whitney Division, East Hartford, CT & Berlin High School & Catherine M. Mcgee Middle School",,Berlin,Connecticut,USA,It has to be fun!,5,"['2016cthar', '2016ctsc', '2016ctwat', '2016manda', '2016necmp']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'NE District - UMass-Dartmouth Event', 'New England District Championship']"
156,RPM  - Robotics Plus Mayhem ,1997,GE & Fairview Hs,,Fairview,Pennsylvania,USA,REV IT UP!,2,"['2016ohcl', '2016paca']","['Buckeye Regional', 'Greater Pittsburgh Regional']"
157,AZTECHS,1995,Boston Scientific / Staples / EMC2 / Raytheon / Entwistle & Assabet Valley Voc Hs,,Marlborough,Massachusetts,USA,The best way to predict the future is to design it.,3,"['2016mawor', '2016ripro', '2016week0']","['NE District - WPI Event', 'NE District - Rhode Island Event', 'Week 0']"
159,Alpine Robotics,1998,Nordson/AMD/GST/Wolf Robotics/Hewlett Packard/Advanced Energy/Metal Distributors/DGCD/Exponential Engineering/Ft Collins Plastics/Gulley Greenhouse/PH'S Alpine Robotics & Poudre High School,,Fort Collins,Colorado,USA,"159, Go Alpine!",1,['2016code'],['Colorado Regional']
166,Chop Shop,1995,BEST BUY / The Bull Family / BAE Systems / PTC / Raytheon / AAVID THERMALLOY & Merrimack High School,,Merrimack,New Hampshire,USA,Wicked Awesome,5,"['2016cur', '2016melew', '2016necmp', '2016nhdur', '2016week0']","['Curie Division', 'NE District - Pine Tree Event', 'New England District Championship', 'NE District - UNH Event', 'Week 0']"
167,Children of the Corn,1998,Rockwell Collins/Aero Antenna Technology & Iowa City High School & West Senior High School,,Iowa City,Iowa,USA,SPRING (Students Promoting Robotics and Inspiring New Generations) Into Action!,2,"['2016iacf', '2016mnmi2']","['Iowa Regional', 'Minnesota North Star Regional']"
171,Cheese Curd Herd,1995,John Deere/University of Wisconsin - Platteville & Platteville High,,Platteville,Wisconsin,USA,,2,"['2016iacf', '2016ilch']","['Iowa Regional', 'Midwest Regional']"
