team number,nickname,rookie year,full name,Nasa?,city,region,country,motto,# of events,event codes,event names
166,Chop Shop,1995,BEST BUY / The Bull Family / BAE Systems / PTC / Raytheon / AAVID THERMALLOY & Merrimack High School,,Merrimack,New Hampshire,USA,Wicked Awesome,5,"['2016cur', '2016melew', '2016necmp', '2016nhdur', '2016week0']","['Curie Division', 'NE District - Pine Tree Event', 'New England District Championship', 'NE District - UNH Event', 'Week 0']"
167,Children of the Corn,1998,Rockwell Collins/Aero Antenna Technology & Iowa City High School & West Senior High School,,Iowa City,Iowa,USA,SPRING (Students Promoting Robotics and Inspiring New Generations) Into Action!,2,"['2016iacf', '2016mnmi2']","['Iowa Regional', 'Minnesota North Star Regional']"
171,Cheese Curd Herd,1995,John Deere/University of Wisconsin - Platteville & Platteville High,,Platteville,Wisconsin,USA,,2,"['2016iacf', '2016ilch']","['Iowa Regional', 'Midwest Regional']"
172,Northern Force,1996,Lanco Assembly Systems/Adobe/IDEXX Laboratories/Robotics Institute of Maine/P&G Tambrands Inc./Texas Instruments & Falmouth High School & Gorham High School,,Gorham/Falmouth,Maine,USA,Think Pink!,4,"['2016hop', '2016mawor', '2016melew', '2016necmp']","['Hopper Division', 'NE District - WPI Event', 'NE District - Pine Tree Event', 'New England District Championship']"
173,RAGE (Robotics And Gadget Engineering),1995,United Technologies/CNC Software/E&S Gage/JP Fabrication & Tolland High School & Ellington High School & East Hartford High School & Connecticut Ib Academy & Home School,,Tolland,Connecticut,USA,"Motivate, educate, innovate",3,"['2016cthar', '2016ctsc', '2016mawor']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - WPI Event']"
174,Arctic Warriors,1998,UTC Carrier / Lockheed Martin / Welch Allyn / SRC / US Army & Liverpool High School,,Liverpool,New York,USA,We are cool under pressure,1,['2016nyro'],['Finger Lakes Regional ']
175,Buzz Robotics,1996,United Technologies Aerospace  Systems Space Systems/PTC & Enrico Fermi High School & Enfield High School,,Enfield,Connecticut,USA,Safety FIRST,4,"['2016cthar', '2016gal', '2016mawor', '2016necmp']","['NE District - Hartford Event', 'Galileo Division', 'NE District - WPI Event', 'New England District Championship']"
176,Aces High,1996,UTC Aerospace Systems/Praxair & Windsor Locks High School & Suffield High School,,Windsor Locks,Connecticut,USA,Laying down the Cards,6,"['2016cthar', '2016ctsc', '2016ctwat', '2016gal', '2016manda', '2016necmp']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'Galileo Division', 'NE District - UMass-Dartmouth Event', 'New England District Championship']"
177,Bobcat Robotics,1995,United Technologies & South Windsor High School,,South Windsor,Connecticut,USA,Have Fun!,5,"['2016cthar', '2016ctsc', '2016ctwat', '2016necmp', '2016tes']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'New England District Championship', 'Tesla Division']"
178,The 2nd Law Enforcers,1997,UTC Otis Elevator / ebm-papst Inc. / Sikorsky / Parker Hannifin Corp. Fluid Control Div. & Farmington High School,,Farmington,Connecticut,USA,We Inspire Kids to Dream FIRST!,3,"['2016ctsc', '2016ctwat', '2016manda']","['Connecticut State Championship', 'NE District - Waterbury Event', 'NE District - UMass-Dartmouth Event']"
179,Children of the Swamp,1998,UTC/EDF/Propp Family Foundation/Lockheed Martin/NASA/FP&L/Florida Turbine Technologies/Aerojet Rocketdyne/Society of Women Engineers & Inlet Grove Community High School,NASA,Riviera Beach,Florida,USA,,4,"['2016alhu', '2016flwp', '2016new', '2016scmb']","['Rocket City Regional', 'South Florida Regional ', 'Newton Division', 'Palmetto Regional']"
180,S.P.A.M.,1998,Pratt & Whitney / Florida Power & Light / Education Foundation of Martin County / Billy LiCausi / UL / Waste Management & South Fork High School & Clark Advanced Learning Center & Martin County High School & Jensen Beach High School,,Stuart,Florida,USA,S.P.A.M. - It's Not Your Momma's Luncheon Meat,4,"['2016arc', '2016cmp', '2016flor', '2016flwp']","['Archimedes Division', 'Einstein Field', 'Orlando Regional', 'South Florida Regional ']"
181,Birds Of Prey,1998,United Technologies/Pratt & Whitney/Stanley Black & Decker & Hphs Academy of Engineering and Green Technology & Pathways to Technology Magnet School,,Hartford,Connecticut,USA,You Can't Rock da Pub!,5,"['2016cthar', '2016ctsc', '2016manda', '2016necmp', '2016tes']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - UMass-Dartmouth Event', 'New England District Championship', 'Tesla Division']"
188,Blizzard,1998,Scotiabank/Bell Canada/Sable Metal Fabrication Inc./Toronto District School Board & Woburn Collegiate Institute,,Toronto,Ontario,Canada,The Force from the North.,4,"['2016cmp', '2016new', '2016onnb', '2016onto2']","['Einstein Field', 'Newton Division', 'North Bay Regional', 'Greater Toronto Central Regional']"
190,Gompei and the H.E.R.D.,1992,WPI & Ma Academy for Math and Science School,,Worcester,Massachusetts,USA,"Student designed, built, and operated.",4,"['2016carv', '2016mawor', '2016njski', '2016ripro']","['Carver Division', 'NE District - WPI Event', 'MAR District - Montgomery Event', 'NE District - Rhode Island Event']"
191,X-CATS,1992,Xerox Corporation & JOSEPH C WILSON MAGNET HIGH SCHOOL & JOSEPH C WILSON FOUNDATION ACADEMY,,Rochester,New York,USA,We are building people as much as a robot.,2,"['2016cur', '2016nyro']","['Curie Division', 'Finger Lakes Regional ']"
192,GRT,1997,Robert Bosch LLC/SRI/Madco Welding Supply/Vander-Bend/Sentient Energy/GRT parents & alumni/Palo Alto Unified School District & Henry M Gunn HS,,Palo Alto,California,USA,Make something simple that works,3,"['2016azfl', '2016casj', '2016wimi']","['Arizona North Regional', 'Silicon Valley Regional presented by Google.org', 'Wisconsin Regional']"
193,MORT Beta,1997,Mt. Olive Board of Education/Mount Olive Robotics Education Association & Mt  Olive High,,Flanders,New Jersey,USA,,5,"['2016hop', '2016mrcmp', '2016njbri', '2016njfla', '2016paphi']","['Hopper Division', 'Mid-Atlantic Robotics District Championship', 'MAR District - Bridgewater-Raritan Event', 'MAR District - Mt. Olive Event', 'MAR District - Springside Chestnut Hill Event']"
195,CyberKnights,1998,"United Technologies / Tiger Enterprises / Construction Insight, Inc. / Mohawk Northeast / Saucier Mechanical Services / Pyramid Technologies / Ametek-Hayden Kerk Motion Solutions / Conveyco & Southington High School",,Southington,Connecticut,USA,Build It- Break It -Fix It -Repeat,6,"['2016cmp', '2016cthar', '2016ctsc', '2016gal', '2016manda', '2016necmp']","['Einstein Field', 'NE District - Hartford Event', 'Connecticut State Championship', 'Galileo Division', 'NE District - UMass-Dartmouth Event', 'New England District Championship']"
199,Deep Blue,1998,Pentair Thermal Management / Google / Sequoia Union High School District / Oracle / Qualcomm / Brin Wojcicki Foundation / Intuitive Surgical / Jameco Electronics / Solidworks / SRI International / Carlmont Academic Foundation / Carlmont PTSA & Carlmont High,,Belmont,California,USA,,1,['2016casj'],['Silicon Valley Regional presented by Google.org']
201,The FEDS,1998,General Motors Research and Development / The Chrysler Foundation / Gallagher-Kaiser Corporation / The State of Michigan / Rochester Community Schools Foundation / TARDEC - NDEP / Genisys Credit Union / Chet's Rent All / Sir Speedy Printing & Rochester High School,,Rochester Hills,Michigan,USA,Everything's a Project,2,"['2016mihow', '2016miwat']","['FIM District - Howell Event', 'FIM District - Waterford Event']"
203,One TUFF Team (Team United for FIRST),1998,Campbell's Soup & Camden Co Tech  Gloucester,,Sicklerville,New Jersey,USA,One T.U.F.F. Team! Team United for FIRST.,2,"['2016pahat', '2016paphi']","['MAR District - Hatboro-Horsham Event', 'MAR District - Springside Chestnut Hill Event']"
204,Eastern Robotic Vikings,1998,Eastern Regional High School Board of Education/Eastern Educational Foundation/Lockheed Martin/Renesas & Eastern High,,Voorhees,New Jersey,USA,,2,"['2016njski', '2016njtab']","['MAR District - Montgomery Event', 'MAR District - Seneca Event']"
